pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z,atom,1,z,atom,2,z,atom,3,z,atom,4,z,atom,5
Al.pz-vbc.UPF,7.46834,10,5,20,4,0.02,0.7,-6,6,1,1,1,0,-20.85194407,15,22.7252743244171,-0.0561675375,0.7166842441,1.414214,2.1117414676,2.8845983962,,,,,,,,
Al.pz-vbc.UPF,7.46834,12,5,20,4,0.02,0.7,-6,6,1,1,1,0,-20.85237832,15,27.0925688743591,-0.0561113556,0.7164015661,1.414214,2.1120254223,2.8845403929,,,,,,,,
Al.pz-vbc.UPF,7.46834,14,5,20,4,0.02,0.7,-6,6,1,1,1,0,-20.85253986,15,27.9863457679749,-0.055926576,0.7164060912,1.414214,2.1120213977,2.8843548136,,,,,,,,
Al.pz-vbc.UPF,7.46834,16,5,20,4,0.02,0.7,-6,6,1,1,1,0,-20.85258969,15,30.42378282547,-0.05593173,0.7164213878,1.414214,2.1120049077,2.884358651,,,,,,,,
Al.pz-vbc.UPF,7.46834,18,5,20,4,0.02,0.7,-6,6,1,1,1,0,-20.8525754,15,36.290741443634,-0.0559584984,0.7164125751,1.414214,2.112015226,2.8843864672,,,,,,,,
Al.pz-vbc.UPF,7.46834,20,5,20,4,0.02,0.7,-6,6,1,1,1,0,-20.85260173,15,39.4087378978729,-0.056047024,0.7163470641,1.414214,2.1120773248,2.8844779847,,,,,,,,
Al.pz-vbc.UPF,7.46834,22,5,20,4,0.02,0.7,-6,6,1,1,1,0,-20.85258442,15,40.3707163333893,-0.0562475118,0.7163232522,1.414214,2.1121048968,2.8846769242,,,,,,,,
Al.pz-vbc.UPF,7.46834,24,5,20,4,0.02,0.7,-6,6,1,1,1,0,-20.85260958,15,43.2400188446045,-0.0562610873,0.7163113697,1.414214,2.1121179567,2.8846923962,,,,,,,,
Al.pz-vbc.UPF,7.46834,26,5,20,4,0.02,0.7,-6,6,1,1,1,0,-20.85259612,15,42.8047506809235,-0.056125228,0.71635003,1.414214,2.1120762947,2.8845533258,,,,,,,,
Al.pz-vbc.UPF,7.46834,28,5,20,4,0.02,0.7,-6,6,1,1,1,0,-20.85260408,15,53.0603773593903,-0.0558496418,0.7164326075,1.414214,2.111988948,2.8842782907,,,,,,,,
Al.pz-vbc.UPF,7.46834,30,5,20,4,0.02,0.7,-6,6,1,1,1,0,-20.85259391,15,55.66432762146,-0.0558543952,0.7164138171,1.414214,2.1120156002,2.884285412,,,,,,,,
Al.pz-vbc.UPF,7.46834,32,5,20,4,0.02,0.7,-6,6,1,1,1,0,-20.85259483,15,55.4995605945587,-0.0555134841,0.7165218642,1.414214,2.1119090463,2.883941235,,,,,,,,
