pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5,z6,z7,z8,z9
Al.pz-vbc.UPF,7.624231,10,9,20,4,0.02,0.7,-6,14,1,'1 1 0',-37.61381026,19,536.4639689922333,0.0922335463,0.7796254447,1.4582392931,2.149130305,2.828427,3.5077244102,4.198615798,4.8772292962,5.5646212791
Al.pz-vbc.UPF,7.624231,12,9,20,4,0.02,0.7,-6,14,1,'1 1 0',-37.6138628,19,622.5756855010986,0.0920386078,0.7794649503,1.4580766981,2.1491012134,2.828427,3.507753455,4.1987779669,4.8773900758,5.564815971
Al.pz-vbc.UPF,7.624231,14,9,20,4,0.02,0.7,-6,14,1,'1 1 0',-37.61390188,19,641.4205322265625,0.0918886541,0.7793142878,1.4579764132,2.1490954967,2.828427,3.5077591369,4.1988778321,4.8775409413,5.5649665744
Al.pz-vbc.UPF,7.624231,16,9,20,4,0.02,0.7,-6,14,1,'1 1 0',-37.61390023,19,572.4796452522278,0.0919628409,0.7793609497,1.4579912002,2.1491345341,2.828427,3.5077168944,4.1988609577,4.8774899648,5.5648890134
Al.pz-vbc.UPF,7.624231,18,9,20,4,0.02,0.7,-6,14,1,'1 1 0',-37.61390062,18,531.3794140815735,0.0901146542,0.778062168,1.4572969234,2.1478875851,2.828427,3.5089628423,4.1995544898,4.8787858381,5.5667340295
Al.pz-vbc.UPF,7.624231,20,9,20,4,0.02,0.7,-6,14,1,'1 1 0',-37.61390817,19,607.3846619129181,0.092586899,0.779730652,1.4581147664,2.1493453316,2.828427,3.5075074489,4.198737578,4.8771202455,5.5642638748
Al.pz-vbc.UPF,7.624231,22,9,20,4,0.02,0.7,-6,14,1,'1 1 0',-37.61389954,18,624.0462462902069,0.0903033927,0.7782433537,1.4573672049,2.148087041,2.828427,3.5087641379,4.1994834013,4.8786082777,5.5665498353
Al.pz-vbc.UPF,7.624231,24,9,20,4,0.02,0.7,-6,14,1,'1 1 0',-37.61391011,18,669.0443933010101,0.0902822825,0.778218577,1.4573781183,2.1481024751,2.828427,3.5087524466,4.1994769069,4.8786378938,5.5665760084
Al.pz-vbc.UPF,7.624231,26,9,20,4,0.02,0.7,-6,14,1,'1 1 0',-37.61389222,18,689.3676068782806,0.0902691886,0.7782027677,1.4573734103,2.1481128189,2.828427,3.5087409241,4.1994795618,4.8786515697,5.5665849179
Al.pz-vbc.UPF,7.624231,28,9,20,4,0.02,0.7,-6,14,1,'1 1 0',-37.61390996,19,731.278201341629,0.0928896682,0.7799523134,1.4582603452,2.1494449947,2.828427,3.5074087482,4.1985920604,4.8769014364,5.5639647119
Al.pz-vbc.UPF,7.624231,30,9,20,4,0.02,0.7,-6,14,1,'1 1 0',-37.61388941,18,743.8006608486176,0.0903233562,0.7783223974,1.4574529363,2.148222509,2.828427,3.5086319823,4.1994011915,4.8785318996,5.566530697
Al.pz-vbc.UPF,7.624231,32,9,20,4,0.02,0.7,-6,14,1,'1 1 0',-37.61390628,19,810.34499335289,0.0926610303,0.7798100879,1.4582077551,2.1492918088,2.828427,3.5075653328,4.1986471828,4.8770465456,5.5641967442
